"source","target","id","developer_comments"
"[0]/director","学生","[0]/director",""
"[0]/memo","树为了拯救因为改变过去而被卷入“式音岛神隐”的歌叶，使用“孩子们的照片”再次回到过去。","[0]/memo","机翻辅助：

树为了拯救因为改变过去而被卷入“式音岛神隐”的歌叶，使用“孩子们的照片”再次回到过去。

为了拯救因为改变过去而被卷入“式音岛神隐”的歌叶，树使用“孩子们的照片”再次飞回了过去。

为了拯救因改变过去而被卷入“式音岛神隐”的歌叶，树用“孩子们的照片”再次飞向了过去。"
"[1]/director","学生","[1]/director",""
"[1]/memo","使用“岛民的照片”回到过去，防止了1991年的火灾。<br>结果成功拯救了阳平的父亲大助的性命。","[1]/memo","机翻辅助：

使用“岛民的照片”回到过去，防止了1991年的火灾。<br>结果成功拯救了阳平的父亲大助的性命。

用“岛民的照片”飞向过去，将1991年的火灾防患于未然。<br>结果拯救了阳平的父亲大助的生命。

用“岛民的照片”飞回过去，预防了1991年的火灾。结果，阳平的父亲大助保住了性命。<br>"
"[2]/director","学生","[2]/director",""
"[2]/memo","在福利院长大的弃婴。<br>一年前被养父母天泽仁和久美子收养。<br>今年夏天第一次来到久美子的出身地式音岛。","[2]/memo","机翻辅助：

在福利院长大的弃婴。<br>一年前被养父母天泽仁和久美子收养。<br>今年夏天第一次来到久美子的出身地式音岛。

在福利院长大的弃儿。<br>1年前被养父母天泽仁和久美子收养。<br>今年夏天第一次访问了久美子出生的式音岛。

在福利院长大的弃婴。1年前被养父母天泽仁和久美子收养。今年夏天，我第一次来到了久美子的故乡式音岛。<br><br>"
"[3]/director","佐仓家 婿","[3]/director","机翻辅助：

佐仓家 婿

佐仓家婿"
"[3]/memo","在照相馆工作，育有一子的父亲。<br>是久美子的丈夫，推测是入赘到佐仓家。<br>2004年时与孩子一同过世。","[3]/memo","机翻辅助：

在照相馆工作，育有一子的父亲。<br>是久美子的丈夫，推测是入赘到佐仓家。<br>2004年时与孩子一同过世。

在照相馆工作的一个孩子的父亲。<br>久美子的丈夫，被认为是入赘佐仓家的。<br>到2004年为止，他与孩子一起去世。

在照相馆工作，是一个孩子的父亲。久美子的丈夫，被认为入赘佐仓家了。2004年和孩子一起去世了。<br><br>"
"[4]/director","警察","[4]/director","机翻辅助：

警察"
"[4]/memo","在岛上派出所工作的警察。<br>事件发生前不久才去过学校，接到报案后又折返。","[4]/memo","机翻辅助：

在岛上派出所工作的警察。<br>事件发生前不久才去过学校，接到报案后又折返。

在岛上办事处工作的警察。<br>在事件发生之前，他也顺便去了学校，接到举报后回来了。

在岛上派出所工作的警察。事件发生之前，他也去了学校，接到报警后回来了。<br>"
"[5]/director","警察","[5]/director","机翻辅助：

警察"
