"source","target","id","developer_comments"
"balloon#5af1f64d169fad2d78bceb5397de7d8f","哎呀，话说回来，好热啊！","balloon#5af1f64d169fad2d78bceb5397de7d8f","机翻辅助：

哎呀，话说回来，好热啊！

呀，但是，好热啊！

哎呀，不管怎么说，好热啊！"
"balloon#a863f894befae265ac6213473beb98f9","在炎炎夏日四处走动……","balloon#a863f894befae265ac6213473beb98f9","机翻辅助：

在炎炎夏日四处走动……

在夏天的烈日下，这样到处走的话……

在炎炎夏日里，像这样到处走来走去……"
"balloon#75c8157c65b19ef9d2397ab5df22558d","汗流个不停，对吧？","balloon#75c8157c65b19ef9d2397ab5df22558d","机翻辅助：

汗流个不停，对吧？

汗也止不住了，对吧？

汗也止不住，是吧？"
"balloon#49b485b7f36d560e189508f832e959b1","是啊。","balloon#49b485b7f36d560e189508f832e959b1","机翻辅助：

是啊。"
"balloon#94a896d761949f638f9b8c6ee12090b7","天气确实很热。","balloon#94a896d761949f638f9b8c6ee12090b7","机翻辅助：

天气确实很热。

确实很热啊。

确实很热呢。"
"balloon#aabbf63824d83d74473562494895664d","就是说啊！","balloon#aabbf63824d83d74473562494895664d","机翻辅助：

就是说啊！

是啊！"
"balloon#ceb1bff29533e83195c473071ddc6bdb","所以我在想……","balloon#ceb1bff29533e83195c473071ddc6bdb","机翻辅助：

所以我在想……

所以我想……

所以，我想……"
"balloon#436e1d5ee925b586b1e805c90bcd3c9d","是不是该[font color=@3]结束这种无聊的谈话[resetfont]了？","balloon#436e1d5ee925b586b1e805c90bcd3c9d","机翻辅助：

是不是该[font color=@3]结束这种无聊的谈话[resetfont]了？

差不多该结束这种无聊的谈话了吧[font color=@3]？[resetfont]

差不多，这样无聊的对话[font color=@3]不开吗？[resetfont]"
"balloon#c8df7808113120a944924f6a166ea386","你说什么！","balloon#c8df7808113120a944924f6a166ea386","机翻辅助：

你说什么！

什么！

你说什么？"
"balloon#d54176f5530d1f42e98587205285bbec","那可不行……！","balloon#d54176f5530d1f42e98587205285bbec","机翻辅助：

那可不行……！

不能那样啊……！

这可不行啊……！"
"balloon#f41db69ec631982fc903bbee0b64e1f8","结束这种搜查行动，到凉快的地方吃个西瓜吧！","balloon#f41db69ec631982fc903bbee0b64e1f8","机翻辅助：

结束这种搜查行动，到凉快的地方吃个西瓜吧！

这样的搜查就结束吧，在凉爽的地方吃西瓜什么的吧！

结束这样的调查吧，去凉快的地方吃西瓜吧！"
