"source","target","id","developer_comments"
"[0]/action_type","会話","[0]/action_type","chara_id: kamishiro"
"[1]/action_type","会話","[1]/action_type","chara_id: ebihara"
"[2]/action_type","会話","[2]/action_type","chara_id: ebihara"
"[3]/action_type","会話","[3]/action_type","chara_id: mashima"
"[4]/action_type","会話","[4]/action_type","chara_id: yuuki"
"[5]/action_type","会話","[5]/action_type","chara_id: yuuki"
"[6]/action_type","行動選択","[6]/action_type","chara_id: itsuki"
"[7]/action_type","推理","[7]/action_type","chara_id: itsuki"
"[8]/action_type","推理","[8]/action_type","chara_id: itsuki"
"[9]/action_type","推理","[9]/action_type","chara_id: itsuki"
"[10]/action_type","推理","[10]/action_type","chara_id: itsuki"
"[11]/action_type","沈黙","[11]/action_type","chara_id: itsuki"
